ball_x,ball_y,ball_vel_x,ball_vel_y,paddle_left_y,paddle_right_y,human_action
185,85,-8,-8,297,229,STAY
177,77,-8,-8,290,229,STAY
169,69,-8,-8,283,229,STAY
161,61,-8,-8,276,229,STAY
153,53,-8,-8,269,229,STAY
145,45,-8,-8,262,229,STAY
137,37,-8,-8,255,229,STAY
129,29,-8,-8,248,229,STAY
121,21,-8,-8,241,229,STAY
113,13,-8,-8,234,229,STAY
105,5,-8,-8,227,229,STAY
97,-3,-8,8,220,229,STAY
89,5,-8,8,213,229,STAY
81,13,-8,8,206,229,STAY
73,21,-8,8,199,229,STAY
65,29,-8,8,192,229,STAY
57,37,-8,8,185,229,STAY
49,45,-8,8,178,229,STAY
41,53,-8,8,171,229,STAY
33,61,-8,8,164,229,STAY
25,69,-8,8,157,229,STAY
17,77,-8,8,150,229,STAY
9,85,-8,8,143,229,STAY
1,93,-8,8,136,229,STAY
393,293,8,-8,129,229,STAY
401,285,8,-8,136,229,STAY
409,277,8,-8,143,229,STAY
417,269,8,-8,150,229,STAY
425,261,8,-8,157,229,STAY
433,253,8,-8,164,229,STAY
441,245,8,-8,171,229,STAY
449,237,8,-8,178,229,STAY
457,229,8,-8,185,229,STAY
465,221,8,-8,192,229,STAY
473,213,8,-8,199,229,STAY
481,205,8,-8,206,229,STAY
489,197,8,-8,213,229,STAY
497,189,8,-8,220,229,STAY
505,181,8,-8,227,229,STAY
513,173,8,-8,234,229,STAY
521,165,8,-8,241,229,STAY
529,157,8,-8,248,229,STAY
537,149,8,-8,255,229,STAY
545,141,8,-8,248,229,STAY
553,133,8,-8,241,229,STAY
561,125,8,-8,234,229,STAY
569,117,8,-8,227,229,STAY
577,109,8,-8,220,229,STAY
585,101,8,-8,213,229,STAY
593,93,8,-8,206,229,STAY
601,85,8,-8,199,229,STAY
609,77,8,-8,192,229,STAY
617,69,8,-8,185,229,STAY
625,61,8,-8,178,229,STAY
633,53,8,-8,171,229,STAY
641,45,8,-8,164,229,STAY
649,37,8,-8,157,229,UP
657,29,8,-8,150,222,UP
665,21,8,-8,143,215,UP
673,13,8,-8,136,208,UP
681,5,8,-8,129,201,UP
689,-3,8,8,122,194,UP
697,5,8,8,115,187,UP
705,13,8,8,108,180,UP
713,21,8,8,101,173,STAY
721,29,8,8,94,173,STAY
729,37,8,8,87,173,STAY
737,45,8,8,80,173,STAY
745,53,8,8,73,173,UP
753,61,8,8,66,166,UP
761,69,8,8,59,159,UP
769,77,8,8,66,152,UP
777,85,8,8,73,145,UP
785,93,8,8,80,138,UP
393,293,8,-8,87,131,UP
401,285,8,-8,94,124,UP
409,277,8,-8,101,117,UP
417,269,8,-8,108,110,UP
425,261,8,-8,115,103,UP
433,253,8,-8,122,96,UP
441,245,8,-8,129,89,UP
449,237,8,-8,136,82,UP
457,229,8,-8,143,75,STAY
465,221,8,-8,150,75,STAY
473,213,8,-8,157,75,STAY
481,205,8,-8,164,75,STAY
489,197,8,-8,171,75,STAY
497,189,8,-8,178,75,STAY
505,181,8,-8,185,75,STAY
513,173,8,-8,192,75,STAY
521,165,8,-8,199,75,STAY
529,157,8,-8,206,75,STAY
537,149,8,-8,213,75,STAY
545,141,8,-8,220,75,STAY
553,133,8,-8,227,75,STAY
561,125,8,-8,220,75,STAY
569,117,8,-8,213,75,DOWN
577,109,8,-8,206,82,DOWN
585,101,8,-8,199,89,DOWN
593,93,8,-8,192,96,DOWN
601,85,8,-8,185,103,DOWN
609,77,8,-8,178,110,DOWN
617,69,8,-8,171,117,DOWN
625,61,8,-8,164,124,DOWN
633,53,8,-8,157,131,DOWN
641,45,8,-8,150,138,STAY
649,37,8,-8,143,138,STAY
657,29,8,-8,136,138,STAY
665,21,8,-8,129,138,STAY
673,13,8,-8,122,138,STAY
681,5,8,-8,115,138,STAY
689,-3,8,8,108,138,UP
697,5,8,8,101,131,UP
705,13,8,8,94,124,UP
713,21,8,8,87,117,UP
721,29,8,8,80,110,UP
729,37,8,8,73,103,UP
737,45,8,8,66,96,UP
745,53,8,8,59,89,UP
753,61,8,8,52,82,UP
756,69,-8,8,45,75,UP
748,77,-8,8,52,68,UP
740,85,-8,8,59,61,UP
732,93,-8,8,66,54,UP
724,101,-8,8,73,47,UP
716,109,-8,8,80,40,STAY
708,117,-8,8,87,40,STAY
700,125,-8,8,94,40,STAY
692,133,-8,8,101,40,STAY
684,141,-8,8,108,40,STAY
676,149,-8,8,115,40,STAY
668,157,-8,8,122,40,STAY
660,165,-8,8,129,40,STAY
652,173,-8,8,136,40,STAY
644,181,-8,8,143,40,STAY
636,189,-8,8,150,40,STAY
628,197,-8,8,157,40,STAY
620,205,-8,8,164,40,STAY
612,213,-8,8,171,40,STAY
604,221,-8,8,178,40,STAY
596,229,-8,8,185,40,STAY
588,237,-8,8,192,40,STAY
580,245,-8,8,199,40,STAY
572,253,-8,8,206,40,STAY
564,261,-8,8,213,40,DOWN
556,269,-8,8,220,47,DOWN
548,277,-8,8,227,54,DOWN
540,285,-8,8,234,61,DOWN
532,293,-8,8,241,68,DOWN
524,301,-8,8,248,75,DOWN
516,309,-8,8,255,82,DOWN
508,317,-8,8,262,89,DOWN
500,325,-8,8,269,96,DOWN
492,333,-8,8,276,103,DOWN
484,341,-8,8,283,110,DOWN
476,349,-8,8,290,117,DOWN
468,357,-8,8,297,124,DOWN
460,365,-8,8,304,131,DOWN
452,373,-8,8,311,138,DOWN
444,381,-8,8,318,145,DOWN
436,389,-8,8,325,152,DOWN
428,397,-8,8,332,159,DOWN
420,405,-8,8,339,166,DOWN
412,413,-8,8,346,173,DOWN
404,421,-8,8,353,180,DOWN
396,429,-8,8,360,187,STAY
388,437,-8,8,367,187,STAY
380,445,-8,8,374,187,STAY
372,453,-8,8,381,187,STAY
364,461,-8,8,388,187,STAY
356,469,-8,8,395,187,STAY
348,477,-8,8,402,187,STAY
340,485,-8,8,409,187,STAY
332,493,-8,8,416,187,STAY
324,501,-8,8,423,187,STAY
316,509,-8,8,430,187,STAY
308,517,-8,8,437,187,STAY
300,525,-8,8,444,187,STAY
292,533,-8,8,451,187,STAY
284,541,-8,8,458,187,STAY
276,549,-8,8,465,187,STAY
268,557,-8,8,472,187,STAY
260,565,-8,8,479,187,STAY
252,573,-8,8,486,187,STAY
244,581,-8,8,493,187,STAY
236,589,-8,-8,500,187,STAY
228,581,-8,-8,500,187,STAY
220,573,-8,-8,500,187,STAY
212,565,-8,-8,500,187,STAY
204,557,-8,-8,500,187,STAY
196,549,-8,-8,500,187,STAY
188,541,-8,-8,500,187,STAY
180,533,-8,-8,500,187,STAY
172,525,-8,-8,500,187,STAY
164,517,-8,-8,500,187,STAY
156,509,-8,-8,500,187,STAY
148,501,-8,-8,500,187,STAY
140,493,-8,-8,500,187,STAY
132,485,-8,-8,500,187,STAY
124,477,-8,-8,500,187,STAY
116,469,-8,-8,500,187,STAY
108,461,-8,-8,500,187,STAY
100,453,-8,-8,500,187,STAY
92,445,-8,-8,500,187,STAY
84,437,-8,-8,500,187,STAY
76,429,-8,-8,500,187,STAY
68,421,-8,-8,500,187,STAY
60,413,-8,-8,500,187,STAY
52,405,-8,-8,500,187,UP
44,397,-8,-8,500,180,UP
36,389,-8,-8,500,173,UP
28,381,-8,-8,500,166,UP
20,373,-8,-8,500,159,UP
12,365,-8,-8,500,152,UP
4,357,-8,-8,500,145,UP
393,293,-8,8,500,138,UP
385,301,-8,8,493,131,UP
377,309,-8,8,486,124,UP
369,317,-8,8,479,117,UP
361,325,-8,8,472,110,UP
353,333,-8,8,465,103,UP
345,341,-8,8,472,96,UP
337,349,-8,8,479,89,UP
329,357,-8,8,486,82,UP
321,365,-8,8,493,75,UP
313,373,-8,8,500,68,UP
305,381,-8,8,500,61,UP
297,389,-8,8,500,54,UP
289,397,-8,8,500,47,UP
281,405,-8,8,500,40,STAY
273,413,-8,8,500,40,STAY
265,421,-8,8,500,40,STAY
257,429,-8,8,500,40,STAY
249,437,-8,8,500,40,STAY
241,445,-8,8,500,40,STAY
233,453,-8,8,500,40,STAY
225,461,-8,8,500,40,STAY
217,469,-8,8,500,40,STAY
209,477,-8,8,500,40,STAY
201,485,-8,8,500,40,DOWN
193,493,-8,8,500,47,DOWN
185,501,-8,8,500,54,DOWN
177,509,-8,8,500,61,DOWN
169,517,-8,8,500,68,DOWN
161,525,-8,8,500,75,DOWN
153,533,-8,8,500,82,DOWN
145,541,-8,8,500,89,DOWN
137,549,-8,8,500,96,DOWN
129,557,-8,8,500,103,DOWN
121,565,-8,8,500,110,DOWN
113,573,-8,8,500,117,DOWN
105,581,-8,8,500,124,DOWN
97,589,-8,-8,500,131,DOWN
89,581,-8,-8,500,138,DOWN
81,573,-8,-8,500,145,STAY
73,565,-8,-8,500,145,STAY
65,557,-8,-8,500,145,STAY
57,549,-8,-8,500,145,STAY
49,541,-8,-8,500,145,STAY
41,533,-8,-8,500,145,STAY
33,525,-8,-8,500,145,STAY
30,517,8,-8,500,145,UP
